Start_Time_UTC,Backend,Size,Iterations,Dtype,Latency_ms,TFLOPS,Avg_Power_W,Peak_Power_W,Efficiency_GFLOPS_W
2026-03-25T12:59:17Z,CUDA,8192,10,float32,114.35,3.2063,89.91,122.72,35.66
2026-03-25T13:00:42Z,OPENCL,8192,10,float32,3156.35,0.3483,124.34,126.73,2.8
2026-03-25T13:06:10Z,CUDA,8192,10,float64,3182.98,0.1152,72.93,74.92,1.58
2026-03-25T13:07:44Z,OPENCL,8192,10,float64,13620.85,0.0807,94.89,97.64,0.85
2026-03-26T03:12:22Z,CUDA GPU (Device 0),CUDA,8192,10,float64,2267.57,0.1617,79.19,80.7,2.04
2026-03-26T03:16:02Z,NVIDIA GeForce RTX 3060,CUDA,8192,10,float64,2260.85,0.1622,77.72,79.62,2.09
